effect_size,method,rejections,replicates,rejection_fraction,monte_carlo_se,clopper_pearson_95_lower,clopper_pearson_95_upper,mean_mmd2,sd_mmd2,exact_permutations
0.0,quotient_exact,13,250,0.052,0.014042222046385677,0.027974892458440544,0.08728018493035453,-0.05716275356475539,0.019410493629793052,256
0.0,raw_coordinates,250,250,1.0,0.0,0.9853528113643196,1.0,0.507908331929521,0.06581651135571628,256
0.0,moment_registration,14,250,0.056,0.014541526742402257,0.03095040461916148,0.09217426632667737,-0.08179225863323708,0.020960859915416432,256
0.0,euler_secondary,10,250,0.04,0.012393546707863733,0.019345498505264534,0.0723293554903805,-0.018423848036523468,0.03322052883683988,256
0.35,quotient_exact,35,250,0.14,0.021945386758952325,0.09949117067433819,0.18929193435649588,-0.0465506319277033,0.01891891659262765,256
0.35,raw_coordinates,250,250,1.0,0.0,0.9853528113643196,1.0,0.5097167174444266,0.06748467762099218,256
0.35,moment_registration,135,250,0.54,0.03152142128775287,0.4760595085827619,0.602980884316821,-0.05064004511503251,0.022613403542768883,256
0.35,euler_secondary,46,250,0.184,0.024506652158138614,0.13797348444613994,0.2376922110038104,0.036167109158919124,0.07437379663156696,256
0.7,quotient_exact,212,250,0.848,0.022706474847496695,0.7973891624412202,0.8901359670667031,-0.009398740513295445,0.025670761833832264,256
0.7,raw_coordinates,250,250,1.0,0.0,0.9853528113643196,1.0,0.5140092048579102,0.07453453441454279,256
0.7,moment_registration,249,250,0.996,0.003991991983959889,0.9779161349993668,0.999898733895821,0.0408900490980763,0.04482280866632583,256
0.7,euler_secondary,250,250,1.0,0.0,0.9853528113643196,1.0,0.9553844306414758,0.1462522498184196,256
1.0,quotient_exact,248,250,0.992,0.005634181395730885,0.9714016527550389,0.9990296902769611,0.03109164852920042,0.031020283464355126,256
1.0,raw_coordinates,250,250,1.0,0.0,0.9853528113643196,1.0,0.506792693754339,0.07338151851746365,256
1.0,moment_registration,250,250,1.0,0.0,0.9853528113643196,1.0,0.1334802951822623,0.06037179186983576,256
1.0,euler_secondary,250,250,1.0,0.0,0.9853528113643196,1.0,1.008229316882338,0.0877604986450628,256
