pair_id,experiment,well_id,label,site,nuisance_seed,canonical_array_equal,exact_action_bottleneck,finite_bars,essential_bars,perturbation_epsilon,realized_sup_norm,realized_l2_norm,perturbation_bottleneck,gaussian_bandwidth,gaussian_rkhs_distance,l2_recovered_from_rkhs,bottleneck_le_sup_norm,sup_norm_le_l2
pair_01,HUVEC-17,HUVEC-17_2_E02,0,1,20260731,True,0.0,19,1,0.00392156862745098,0.003888245213489641,0.037929353221397184,0.0037043106807464156,1.0,0.03792253342759203,0.03792935322139577,True,True
pair_01,HUVEC-17,HUVEC-17_2_E02,0,2,20260731,True,0.0,30,1,0.00392156862745098,0.003913770013847857,0.036881511974371256,0.0037426361195338625,1.0,0.03687524187203297,0.03688151197437135,True,True
pair_01,HUVEC-17,HUVEC-17_2_M17,1,1,20260731,True,0.0,18,1,0.00392156862745098,0.0038955143918543017,0.03640261700197882,0.003865852371454502,1.0,0.03639658796585999,0.03640261700197779,True,True
pair_01,HUVEC-17,HUVEC-17_2_M17,1,2,20260731,True,0.0,11,1,0.00392156862745098,0.003911688269563672,0.03503783105936322,0.0037995302152351767,1.0,0.03503245497444892,0.035037831059363686,True,True
pair_01,HUVEC-18,HUVEC-18_2_K15,0,1,20260731,True,0.0,41,1,0.00392156862745098,0.003885166557494415,0.03643823387730652,0.003528969924505354,1.0,0.03643218712879945,0.03643823387730611,True,True
pair_01,HUVEC-18,HUVEC-18_2_K15,0,2,20260731,True,0.0,33,1,0.00392156862745098,0.003904104409866972,0.03675400457698098,0.0037883914313941937,1.0,0.03674779927532313,0.036754004576981525,True,True
pair_01,HUVEC-18,HUVEC-18_2_G06,1,1,20260731,True,0.0,30,1,0.00392156862745098,0.0038784239779320402,0.0357791961105383,0.0038784239779320402,1.0,0.03577347152778568,0.03577919611053741,True,True
pair_01,HUVEC-18,HUVEC-18_2_G06,1,2,20260731,True,0.0,26,1,0.00392156862745098,0.0039168163017949745,0.03604027368070999,0.003729112772860284,1.0,0.036034422877453724,0.03604027368071063,True,True
pair_01,HUVEC-19,HUVEC-19_1_D21,0,1,20260731,True,0.0,35,1,0.00392156862745098,0.0039033480114888802,0.03661102544960932,0.0037612816423400527,1.0,0.036604892278827524,0.036611025449608856,True,True
pair_01,HUVEC-19,HUVEC-19_1_D21,0,2,20260731,True,0.0,21,1,0.00392156862745098,0.003918050220873721,0.03653381709060561,0.0037935673617081156,1.0,0.036527722636881706,0.036533817090606546,True,True
pair_01,HUVEC-19,HUVEC-19_1_I06,1,1,20260731,True,0.0,10,1,0.00392156862745098,0.0039167709765636285,0.035678909857838906,0.0039157742914174105,1.0,0.035673233272709076,0.03567890985783917,True,True
pair_01,HUVEC-19,HUVEC-19_1_I06,1,2,20260731,True,0.0,10,1,0.00392156862745098,0.003919422700850959,0.03780009136964756,0.003917800991692692,1.0,0.0377933410564372,0.037800091369648084,True,True
pair_01,HUVEC-20,HUVEC-20_1_H13,0,1,20260731,True,0.0,19,1,0.00392156862745098,0.003918544409964688,0.036503095282468395,0.003908974386423588,1.0,0.0364970161891381,0.03650309528246962,True,True
pair_01,HUVEC-20,HUVEC-20_1_H13,0,2,20260731,True,0.0,27,1,0.00392156862745098,0.0038942465736807146,0.03667160641272633,0.0036587711743843515,1.0,0.03666544274836475,0.0366716064127278,True,True
pair_01,HUVEC-20,HUVEC-20_1_G17,1,1,20260731,True,0.0,15,1,0.00392156862745098,0.003889182368252456,0.03692802541291526,0.003823988318301535,1.0,0.03692173156011638,0.036928025412916635,True,True
pair_01,HUVEC-20,HUVEC-20_1_G17,1,2,20260731,True,0.0,14,1,0.00392156862745098,0.003831722134123002,0.035202508965381234,0.0037570740509454362,1.0,0.03519705672735998,0.035202508965380803,True,True
pair_01,HUVEC-21,HUVEC-21_3_L06,0,1,20260731,True,0.0,32,1,0.00392156862745098,0.0038596316052871213,0.03606277853374297,0.003578934147143012,1.0,0.03605691676426936,0.03606277853374178,True,True
pair_01,HUVEC-21,HUVEC-21_3_L06,0,2,20260731,True,0.0,28,1,0.00392156862745098,0.0039201041977934455,0.03618698212675539,0.0039143702453877105,1.0,0.036181059588535305,0.03618698212675669,True,True
pair_01,HUVEC-21,HUVEC-21_3_L17,1,1,20260731,True,0.0,20,1,0.00392156862745098,0.003871082665496888,0.035940131024233754,0.0037853661358022775,1.0,0.03593432885291395,0.03594013102423345,True,True
pair_01,HUVEC-21,HUVEC-21_3_L17,1,2,20260731,True,0.0,13,1,0.00392156862745098,0.003889884824285088,0.036078953767358694,0.003872588601925287,1.0,0.03607308410752422,0.036078953767357744,True,True
pair_01,HUVEC-22,HUVEC-22_2_K23,0,1,20260731,True,0.0,30,1,0.00392156862745098,0.003915451312416338,0.03772858125580304,0.003828216503241017,1.0,0.037721869177061516,0.03772858125580421,True,True
