analysis,method,nuisance_seed,pair_id,statistic,p_value,rejected_at_0_05,permutations,role,holm_all_pairs_p,holm_replication_p
acquisition_only_sharp_null,raw_coordinates,20260733,pair_08,0.26203650148330027,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260733,pair_09,0.3140976542398205,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,raw_coordinates,20260733,pair_10,0.20978246942673084,0.0078125,True,256,replication,0.078125,0.0703125
acquisition_only_sharp_null,moment_registration,20260733,pair_01,-0.16487332241898467,1.0,False,256,primary,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_02,-0.15665441914571843,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_03,-0.15858549782217968,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_04,-0.16305117020314353,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_05,-0.16715776780183855,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_06,-0.15855536248409063,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_07,-0.15521104856169265,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_08,-0.15878873489001621,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_09,-0.15610222645079663,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,moment_registration,20260733,pair_10,-0.159152296960427,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_01,-0.15807774289491416,1.0,False,256,primary,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_02,-0.1329019821421562,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_03,-0.17912825050856496,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_04,-0.15759196783688645,1.0,False,256,replication,1.0,1.0
acquisition_only_sharp_null,euler_secondary,20260733,pair_05,-0.1505133657918244,1.0,False,256,replication,1.0,1.0
